,Agentforce All Accounts

,BU ,LATAM,,Snapshot
,OU,*,,# of accounts,313
,AOV Band,"06. 100K-500K, 05. 500K-1M, 04. 1M-5M, 03. 5M-10M, 02. 10M-25M, 01. >25M, 07. 50K-100K, 08. 10K-50K, 09. 1K-10K, 10. <1K",,AOV ($),27M
,Success Plan,*,,Flex Credits Allowance,"12,276M"
,CL Influence,*,,Conv Allowance,14M
,FDE Covered,*
,,ACCT_NM,CY_AGENTFORCE_AOV,CY_AGENTFORCE_ACV,CY_AGENTFORCE_OP,CY_AGENTFORCE_PG,STAGE_NM,ORG62_SUPPORT_LEVEL,FDE Covered,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,Account #,Account Name,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Success Plan,FDE,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,0013y00001emP2VAAU,Boreal Cobertura de Salud,0.0M,0.0M,,0.0M,Agents Created in Prod or Sandbox,Premier,N,,34,,35M,4M,0M,0%,−,−,-,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000RaiXjAAJ,"UALÁ, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE RFC: BNC061114TQ4",0.0M,−,−,0.1M,Purchased SKU,Premier,N,,30,,28M,4M,0M,0%,28M,−,0%,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013y00001fM8I4AAK,Arcos Dourados Comércio de Alimentos S.A.(Org 2),0.0M,0.0M,−,0.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,3,,13M,10M,7M,56%,2M,0M,1%,+7M,+67761%,73%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QqcORQAZ,Felicio Vigorito & Filhos Ltda,0.0M,0.0M,,0.0M,Agents Created in Prod or Sandbox,Basic,N,,21,,9M,1M,0M,0%,−,−,-,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013y00001beCapAAE,Valle de los Mezquites SA de CV (Ciudad Maderas),0.0M,0.0M,,0.0M,Purchased SKU,Basic,N,,11,,8M,0M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001Yty8CQAR,Payclip S. de R.L. de C.V. RFC: BLI120726UF6,0.0M,0.0M,−,0.1M,Agents Used in Prod,Premier,N,,19,,16M,3M,0M,0%,16M,0M,0%,+0M,+2124%,1%,,−,−,−,-,−,−,-,–,-,-
,0010M00001UV6CPQA1,Avalian,0.0M,0.0M,,0.0M,Agents Used in Prod,Basic,N,,3,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,0%,0M,0M,0%,+0M,+644%,1%
,0013000001GYXMoAAP,Compañía Mundial de Seguros,0.0M,0.0M,−,0.0M,Agents Activated in Prod,Premier,N,,30,,31M,5M,0M,0%,0M,0M,6%,+0M,+11%,0%,,−,−,−,-,−,−,-,–,-,-
,001ed00000qZHWQAA4,"Tip de México, S.A.P.I. de C.V. (Cuenta EE TIPO MEXICO)",0.0M,0.0M,,0.0M,Purchased SKU,Basic,N,,34,,26M,1M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001NYX2tQAH,Ache Laboratorios Farmaceuticos (CPV),0.0M,0.0M,−,0.0M,Agents Created in Prod or Sandbox,Premier,N,,2,,7M,5M,0M,0%,7M,−,0%,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,00130000016gQftAAE,Três Corações Alimentos S/A.,0.0M,0.0M,−,0.2M,Agents Created in Prod or Sandbox,Premier,N,,12,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0013000001KZn36AAD,METROKIA S.A. - Nit : 830078966-6,0.0M,0.0M,−,0.0M,Agents Used in Prod,Basic,N,,29,,8M,4M,0M,0%,8M,0M,0%,+0M,+43%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000ZlQqMAAV,MARFRIG GLOBAL FOODS S.A.,0.0M,−,,0.0M,Purchased SKU,Premier,N,,1,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0010M00001UVYQXQA5,"Importadora de Baterias, S.A.",0.0M,0.0M,−,0.0M,Agents Used in Prod,Basic,N,,29,,25M,8M,0M,1%,25M,0M,0%,+0M,+40%,2%,,−,−,−,-,−,−,-,–,-,-
,0010M00001WZ3vEQAT,Gobierno de la Ciudad Autonoma de Buenos Aires-Agencia Sistemas de Información,0.0M,0.0M,0.3M,1.2M,Agents Activated in Prod,Basic,N,Nicolas Gamallo,6,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0013000000NT1nlAAD,Seguros Generales Suramericana S.A.,0.0M,0.0M,0.0M,0.1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,21,,10M,4M,0M,1%,10M,0M,0%,+0M,+481%,2%,,−,−,−,-,−,−,-,–,-,-
