customer,acct_id,acct_nm,OU Mapping,Customer Usage Category,tenure_segment,Low Consumption Customer,cust_crr_classification,Data Date,customer_dc_aov,cust_data_cloud_crr,Account Count,Count,Acct_ID_18
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb4AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb9,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb9AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb9,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb9AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAb9,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAb9AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbE,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbEAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbE,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbEAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbE,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbEAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbJ,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbJAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbJ,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbJAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbJ,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbJAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbO,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbOAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbO,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbOAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbO,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbOAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001fvAbT,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fvAbTAAU
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001g5On4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001g5On4AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001g5On4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001g5On4AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001g5On4,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001g5On4AAE
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001griEE,Proquire LLC.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001griEEAAY
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001h7onO,Proquire LLC;,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001h7onOAAQ
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001h7onO,Proquire LLC;,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001h7onOAAQ
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001h81zC,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001h81zCAAQ
ACCENTURE PUBLIC LIMITED COMPANY,0013y00001h81zC,Proquire LLC,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001h81zCAAQ
