ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
00100000001UPGhAAO,"Dell USA, L.P.",aBR300000004DYxGAM,15353571.34,6614921.888,5313805.022,0,1301116.867,0,0,Other
0010M00001QqUG3QAN,The LCF Group,0010M00001QqUG3QAN,53200,48400,33400,0,15000,0,0,Other
00120000000034GAAQ,Tuskerdirect.com,aBR30000000Xm6mGAC,50299.0403,50299.0403,50299.0403,0,0,0,0,Other
0010M00001QlDCTQA3,Operation Keloid Inc.,0010M00001QlDCTQA3,8125.9125,8125.9125,8125.9125,0,0,0,0,Other
0013y00001fSzjFAAS,Elavara MD,0013y00001fSzjFAAS,776,776,776,0,0,0,0,Other
0013y00001folMnAAI,"Beren Therapeutics, P.B.C.",0013y00001folMnAAI,90,90,90,0,0,0,0,Other
0013y00001cCieqAAC,Aire Ancient Baths Management SL,aBR3y000000wrKyGAI,64613.6594,64613.6594,63431.7022,0,1181.9572,0,0,Other
0013000001GUv0DAAT,SOLEA,0013000001GUv0DAAT,14699.3525,3760.2995,3760.2995,0,0,0,0,Other
0010000000027D7AAI,Pomeroy Technologies LLC,aBR3y000000H7kdGAC,1000,1000,1000,0,0,0,0,Other
001ed00000U0Yd7AAF,"Orange Dcx, S. de R.L. de C.V.",aBR3y000000gESpGAM,2347.5682,2347.5682,2347.5682,0,0,0,0,Other
0010M00001WJPFAQA5,L&T Finance Holdings Limited ( Org 2),aBR3y000000wn9GGAQ,9940.0189,6011.1577,6011.1577,0,0,0,0,Other
0013000000hJrm4AAC,American Petroleum Institute - 2nd Org,aBR3y0000004stZGAQ,119487.744,101260.8,0,0,0,0,101260.8,Legacy CDP
0013000001Iey4yAAB,SHIMIZU KANGYO.Corp,0013000001Iey4yAAB,35171.316,33958.512,33958.512,0,0,0,0,Other
0010M00001W8RzmQAF,Mac Hospitales,aBR3y000000yfYkGAI,18750,18750,18750,0,0,0,0,Other
0013000000JzdsaAAB,NAGANO TOYOTA JIDOSHA K.K.,aBR30000000L6FRGA0,51544.17,51139.902,51139.902,0,0,0,0,Other
0010M00001QlWVQQA3,Capital Inteligente,aBR3y000000buzRGAQ,12859.65,11659.65,11074.5,369.15,0,216,0,Other
0010M00001SIpawQAD,GoodLeap (formerly Loanpal) - Consumer Finance,aBR0M000000PBfgWAG,130000,120000,120000,0,0,0,0,Other
0013000001MjQTfAAN,Arcos Dourados Comércio de Alimentos S.A.,aBR3y000000wmkfGAA,110083.3092,110083.3092,0,0,0,0,110083.3092,Legacy CDP
0013y00001dLtC7AAK,Booking.com BV - B2B Accommodations,aBR300000004NldGAE,1368786.427,1321786.427,0,1093721.027,0,228065.4,0,Other
0010M00001P0B4uQAF,ROMA CAPITALE,aBR3y000000kCE4GAM,328321.44,65664.288,65664.288,0,0,0,0,Other
0010M00001QqwVwQAJ,"VALUE BOOKS, K.K.",aBR3y00000057MhGAI,193155.2092,193155.2092,0,193155.2092,0,0,0,Other
0013000000RaqLdAAJ,Constance hospitality management Ltd,aBR3y0000004mzRGAQ,8547.4332,8547.4332,3747.4332,0,0,4800,0,Other
0013000001Jy6GXAAZ,SCENE Limited Partnership,aBR300000004FEtGAM,926742.0224,544547.5293,0,0,0,0,544547.5293,Legacy CDP
00130000002xcJaAAI,Acts Retirement-life Communities Inc,aBR30000000PBPSGA4,335040,155040,0,109800,600,44640,0,Other
0013000000DmkTRAAZ,"MI Windows and Doors, LLC (MITER Brands)",aBR3y000000CfGfGAK,295790,64790,0,59750,0,5040,0,Other
0010M00001WHoD1QAL,"SmartRent Technologies, Inc",aBR3y000000fziLGAQ,143050,143050,114250,0,28800,0,0,Other
00130000000Pq5AAAS,"PointClickCare Technologies, Inc.",aBR0M000000bmj2WAA,52857.0629,31999.92,0,31999.92,0,0,0,Other
0013000001NXj8IAAT,Cint AB,aBR3y000000HJyVGAW,31676.4526,31676.4526,31676.4526,0,0,0,0,Other
0013y00001fFDCqAAO,"Region Design Holdings Co.,Ltd.",aBR3y000000h3qYGAQ,12089.2303,1173.9943,727.6824,0,446.3119,0,0,Other
0010M00001JzhiUQAR,FUJIFILM Holdings Corporation (Org:FUJIFILM Europe GmbH),aBR30000000L7xkGAC,31152.0835,31152.0835,31152.0835,0,0,0,0,Other
0013000001CArCyAAL,"Seminole Hard Rock Support Services, LLC",aBR300000004USnGAM,218152,218152,138152,80000,0,0,0,Other
0013y00001ce5HqAAI,National Transport Research Organisation (NTRO),aBR3y000000g1WsGAI,19408.4919,19408.4919,4727.2171,0,0,14681.2748,0,Other
0013y00001d0mJ2AAI,Mortgage Advice Bureau Ltd 3rd org,aBR3y000000XquZGAS,250980.4256,250980.4256,0,250980.4256,0,0,0,Other
0013000001GXfq7AAD,Bank of Guam (US),0013000001GXfq7AAD,15900,15900,15900,0,0,0,0,Other
001ed00000XorirAAB,Gilead Sciences Inc.,aBR300000004DMsGAM,1123497.361,884644.2011,0,856744.2011,0,27900,0,Other
0013000000ZjaKvAAJ,Bottom Line NPC Org,0013000000ZjaKvAAJ,82326.44,82326.44,0,82326.44,0,0,0,Other
0010M00001MtNonQAF,NetJets Services (2nd Org),aBR0M000000bmc1WAA,492322.32,410268.6,0,0,0,0,410268.6,Legacy CDP
0013000000RakNuAAJ,Hypera Pharma,aBR300000004RkbGAE,13339.5818,13339.5818,0,13339.5818,0,0,0,Other
0013000000hJOi1AAG,Engine (formerly Hotel Engine),0013000000hJOi1AAG,61000,40000,40000,0,0,0,0,Other
0013000001Jy00gAAB,Principal Life Insurance Company,aBR300000004EpvGAE,1815945.319,1644573.689,0,1644573.689,0,0,0,Other
0013y00001eU1eqAAC,TVS Motor Company - S  (Child Org 1),aBR3y000000yewBGAQ,16545.1155,16545.1155,0,15259.3064,0,1285.8091,0,Other
00130000016hS8sAAE,MS Financing LLC,aBR3y000000Ci2cGAC,1310687.404,1131996.04,910147.08,0,221848.9596,0,0,Other
0010M00001U3yOFQAZ,Driven Financial Technologies,aBR3y000000gFgdGAE,77435.8281,77435.8281,77435.8281,0,0,0,0,Other
0013000000RXZwUAAX,Raymond Ltd.,aBR3y000000wnAsGAI,31563.2329,26205.6949,24205.5473,0,0,2000.1476,0,Other
0013y00001c7OefAAE,"SI&C Co.,Ltd.",aBR3y00000053JjGAI,22234.7408,22234.7408,0,22234.7408,0,0,0,Other
0013y00001car1cAAA,THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED,aBR0M000000bpyFWAQ,256871.58,256871.58,0,256871.58,0,0,0,Other
0013000001CClGQAA1,Cipatex,aBR3y000000HDvTGAW,2091.7323,2091.7323,2091.7323,0,0,0,0,Other
0010000000282ReAAI,Inpro Corporation,aBR3y000000wrUZGAY,42104.8,41104.8,41104.8,0,0,0,0,Other
001000000027UZ7AAM,Amica Mutual Insurance Company,aBR300000004EoRGAU,150097.7548,75138.8281,75138.8281,0,0,0,0,Other
001ed00000AsgB0AAJ,"Marriott International Administrative Services, Inc..",aBR300000004ExiGAE,945839.9194,938951.791,0,892415.595,0,46536.196,0,Other
00130000006BiQGAA0,Schulthess Maschinen AG,aBR3y000000wqkPGAQ,8755.2384,3283.2144,3283.2144,0,0,0,0,Other
0013y00001be39lAAA,Survitec Group,aBR0M00000007fEWAQ,54570.2249,54570.2249,54570.2249,0,0,0,0,Other
0013y00001e5yFjAAI,The Prudential Insurance Company of America,aBR300000004EksGAE,1066276,1066276,706000,0,360276,0,0,Other
0013y00001gDZUaAAO,"NAKAMURA IRON WORKS CO.,LTD.",0013y00001gDZUaAAO,4584.3991,4584.3991,0,4584.3991,0,0,0,Other
0010M00001X8YalQAF,SCHIBSTED MEDIA PRODUCTS & TECHNOLOGY,aBR300000004Md2GAE,150908.7592,51000,51000,0,0,0,0,Other
0013000000hL7m2AAC,2U LLC,aBR300000004YnoGAE,786248.3593,473689.3652,77304.0318,382585.3334,0,13800,0,Other
0013000001FKz8LAAT,Amart Furniture Pty Ltd,aBR0M000000GoGnWAK,95517.5091,95517.5091,94211.6057,0,1305.9034,0,0,Other
0013000000M1aukAAB,"Charter Manufacturing Company, Inc.",aBR300000004P7iGAE,110997.6739,110997.6739,109625.1073,1096.5666,276,0,0,Other
0013000000ZjRGHAA3,"Cooper’s Hawk Intermediate Holding, LLC",aBR0M000000CbprWAC,36540.0102,36540.0102,14107.7302,0,0,22432.28,0,Other
00130000008eb0VAAQ,"Vista Equity Partners Management, LLC",aBR0M0000004h5kWAA,108000,108000,108000,0,0,0,0,Other
0013y00001ep16qAAA,DXentric (Marketing),aBR3y0000008XVWGA2,12000,12000,0,0,0,0,12000,Legacy CDP
0013000000I5yJ2AAJ,Groupama Assicurazioni SpA,0013000000I5yJ2AAJ,53551.7055,20582.1063,0,20582.1063,0,0,0,Other
0013000001NX6jcAAD,Lexisnexis Risk Solutions Inc.,aBR300000004F9TGAU,80340,80340,0,0,0,0,0,Legacy CDP
001ed00000UoSpUAAV,BD Liberator,aBR300000004DifGAE,85590.3703,85590.3703,40230.3703,0,39600,5760,0,Other
00130000002xcjPAAQ,"Orgill, Inc.",aBR3y0000000GU0GAM,196584.9537,189084.9537,0,189084.9537,0,0,0,Other
0013y00001cZiHmAAK,"Family Support Co., Ltd.",0013y00001cZiHmAAK,27027.0669,27027.0669,0,24465.6249,0,2561.442,0,Other
